TEMP,Date/Time,Exact Time [ns]
21.964,2025-05-02 16:37:51.944407,4900697772058
21.966,2025-05-02 16:37:52.944949,4901698313854
21.97,2025-05-02 16:37:53.945464,4902698828891
21.974,2025-05-02 16:37:54.945956,4903699320668
21.978,2025-05-02 16:37:55.946816,4904700181315
21.982,2025-05-02 16:37:56.947376,4905700740759
21.987,2025-05-02 16:37:57.947855,4906701218981
21.992,2025-05-02 16:37:58.948331,4907701695684
21.998,2025-05-02 16:37:59.948809,4908702172813
22.005,2025-05-02 16:38:00.949279,4909702643590
22.012,2025-05-02 16:38:01.949791,4910703155441
22.019,2025-05-02 16:38:02.950267,4911703632533
22.028,2025-05-02 16:38:03.950754,4912704118440
22.037,2025-05-02 16:38:04.951244,4913704608551
22.046,2025-05-02 16:38:05.951714,4914705078569
22.056,2025-05-02 16:38:06.952205,4915705569124
22.067,2025-05-02 16:38:07.952668,4916706033530
22.079,2025-05-02 16:38:08.953156,4917706521196
22.09,2025-05-02 16:38:09.953636,4918706998659
22.1,2025-05-02 16:38:10.954076,4919707439603
22.112,2025-05-02 16:38:11.954525,4920707933584
22.121,2025-05-02 16:38:12.955039,4921708403194
22.131,2025-05-02 16:38:13.955526,4922708891619
22.141,2025-05-02 16:38:14.956018,4923709383489
22.15,2025-05-02 16:38:15.956512,4924709876766
22.16,2025-05-02 16:38:16.956993,4925710357969
22.169,2025-05-02 16:38:17.957471,4926710835969
22.178,2025-05-02 16:38:18.957963,4927711327746
22.186,2025-05-02 16:38:19.958454,4928711818097
22.195,2025-05-02 16:38:20.958941,4929712306226
22.203,2025-05-02 16:38:21.959418,4930712782059
22.21,2025-05-02 16:38:22.959937,4931713303244
22.217,2025-05-02 16:38:23.960422,4932713786465
22.225,2025-05-02 16:38:24.960917,4933714282446
22.234,2025-05-02 16:38:25.961497,4934714861871
22.243,2025-05-02 16:38:26.961963,4935715327260
22.253,2025-05-02 16:38:27.962446,4936715810463
22.263,2025-05-02 16:38:28.962944,4937716309833
22.275,2025-05-02 16:38:29.963426,4938716790406
22.287,2025-05-02 16:38:30.964361,4939717724646
22.299,2025-05-02 16:38:31.964981,4940718345960
22.31,2025-05-02 16:38:32.965974,4941719338534
22.323,2025-05-02 16:38:33.966446,4942719811607
22.336,2025-05-02 16:38:34.966929,4943720294625
22.348,2025-05-02 16:38:35.967411,4944720775717
22.36,2025-05-02 16:38:36.968201,4945721566013
22.37,2025-05-02 16:38:37.968982,4946722347031
22.381,2025-05-02 16:38:38.969518,4947722881660
22.391,2025-05-02 16:38:39.970301,4948723666233
22.4,2025-05-02 16:38:40.970811,4949724176029
22.408,2025-05-02 16:38:41.971673,4950725036955
22.415,2025-05-02 16:38:42.972241,4951725606250
22.423,2025-05-02 16:38:43.973084,4952726449083
22.43,2025-05-02 16:38:44.973697,4953727061138
22.436,2025-05-02 16:38:45.974191,4954727556545
22.442,2025-05-02 16:38:46.974703,4955728067637
22.446,2025-05-02 16:38:47.975493,4956728856766
22.451,2025-05-02 16:38:48.975991,4957729355358
22.456,2025-05-02 16:38:49.976505,4958729869413
22.46,2025-05-02 16:38:50.976986,4959730350079
22.465,2025-05-02 16:38:51.977485,4960730848837
22.469,2025-05-02 16:38:52.978321,4961731682541
22.474,2025-05-02 16:38:53.978748,4962732110799
22.478,2025-05-02 16:38:54.979094,4963732451947
22.482,2025-05-02 16:38:55.979535,4964732899817
22.486,2025-05-02 16:38:56.980027,4965733392149
22.49,2025-05-02 16:38:57.980805,4966734171797
22.495,2025-05-02 16:38:58.981624,4967734983407
22.497,2025-05-02 16:38:59.985222,4968738587129
22.5,2025-05-02 16:39:00.986765,4969740137610
22.503,2025-05-02 16:39:01.988522,4970741885646
22.505,2025-05-02 16:39:02.989849,4971743207553
22.507,2025-05-02 16:39:03.990284,4972743649386
22.509,2025-05-02 16:39:04.994206,4973747586367
22.511,2025-05-02 16:39:05.994734,4974748115329
22.512,2025-05-02 16:39:06.995295,4975748654106
22.514,2025-05-02 16:39:07.995917,4976749289809
22.515,2025-05-02 16:39:08.996429,4977749794031
22.516,2025-05-02 16:39:09.996946,4978750311123
22.517,2025-05-02 16:39:10.997455,4979750820215
22.519,2025-05-02 16:39:11.997980,4980751372270
22.52,2025-05-02 16:39:12.998496,4981751861362
22.522,2025-05-02 16:39:13.999040,4982752404621
22.522,2025-05-02 16:39:14.999642,4983753006916
22.524,2025-05-02 16:39:16.000149,4984753513268
22.525,2025-05-02 16:39:17.000658,4985754031323
22.527,2025-05-02 16:39:18.001189,4986754554470
22.528,2025-05-02 16:39:19.001728,4987755093377
22.529,2025-05-02 16:39:20.003050,4988756411839
22.531,2025-05-02 16:39:21.003635,4989756994024
22.532,2025-05-02 16:39:22.004149,4990757513968
22.533,2025-05-02 16:39:23.004653,4991758019060
22.534,2025-05-02 16:39:24.005137,4992758501244
22.536,2025-05-02 16:39:25.005712,4993759074762
22.538,2025-05-02 16:39:26.006194,4994759558058
22.539,2025-05-02 16:39:27.006703,4995760067168
22.54,2025-05-02 16:39:28.007296,4996760661723
22.541,2025-05-02 16:39:29.008213,4997761571464
22.542,2025-05-02 16:39:30.009031,4998762391074
22.543,2025-05-02 16:39:31.009345,4999762703944
22.544,2025-05-02 16:39:32.009882,5000763246295
22.545,2025-05-02 16:39:33.010372,5001763736776
22.545,2025-05-02 16:39:34.010829,5002764193220
22.546,2025-05-02 16:39:35.011359,5003764722960
22.547,2025-05-02 16:39:36.011842,5004765206274
22.548,2025-05-02 16:39:37.012328,5005765692625
22.548,2025-05-02 16:39:38.012797,5006766161162
22.549,2025-05-02 16:39:39.013287,5007766650921
22.548,2025-05-02 16:39:40.014664,5008768028716
22.547,2025-05-02 16:39:41.015486,5009768850549
22.548,2025-05-02 16:39:42.015995,5010769359678
22.547,2025-05-02 16:39:43.016885,5011770249622
22.547,2025-05-02 16:39:44.017460,5012770826010
22.547,2025-05-02 16:39:45.018947,5013772311028
22.547,2025-05-02 16:39:46.020282,5014773646472
22.547,2025-05-02 16:39:47.021176,5015774541416
22.547,2025-05-02 16:39:48.021679,5016775043526
22.547,2025-05-02 16:39:49.022568,5017775932803
22.548,2025-05-02 16:39:50.026344,5018779709488
22.548,2025-05-02 16:39:51.027261,5019780623024
22.547,2025-05-02 16:39:52.028069,5020781433802
22.546,2025-05-02 16:39:53.028647,5021782011060
22.546,2025-05-02 16:39:54.029429,5022782802226
22.545,2025-05-02 16:39:55.033692,5023787056355
22.544,2025-05-02 16:39:56.034194,5024787559114
22.543,2025-05-02 16:39:57.034766,5025788131336
22.543,2025-05-02 16:39:58.035321,5026788685483
22.543,2025-05-02 16:39:59.035904,5027789267779
22.542,2025-05-02 16:40:00.036865,5028790225760
22.542,2025-05-02 16:40:01.037286,5029790643759
22.543,2025-05-02 16:40:02.037773,5030791137259
22.543,2025-05-02 16:40:03.038358,5031791722684
22.543,2025-05-02 16:40:04.039102,5032792460387
22.543,2025-05-02 16:40:05.039650,5033793014812
22.544,2025-05-02 16:40:06.040183,5034793547830
22.545,2025-05-02 16:40:07.040706,5035794071663
22.546,2025-05-02 16:40:08.042020,5036795381551
22.548,2025-05-02 16:40:09.042366,5037795725403
22.549,2025-05-02 16:40:10.042781,5038796139384
22.549,2025-05-02 16:40:11.043334,5039796698883
22.55,2025-05-02 16:40:12.044162,5040797528308
22.551,2025-05-02 16:40:13.044657,5041798021956
22.552,2025-05-02 16:40:14.045151,5042798515603
